"","Date.Time","Contact Type","Topic","Comments"
"121","2015-08-31 11:56:00","In Person","General Info","Student wanting to withdrawl from school"
"122","2015-08-31 11:57:00","In Person","MATH",""
"123","2015-08-31 12:00:00","In Person","CUD Buildings","Student looking for CU building"
"124","2015-08-31 12:00:00","In Person","Bursar","Student wanting to pay tuition"
"125","2015-08-31 12:06:00","In Person","Computer Lab","Student looking for computer lab"
"126","2015-08-31 12:08:00","In Person","Financial Aid","Student looking for Financial Aid"
"127","2015-08-31 12:17:00","In Person","LRC","Student looking for LRC"
"128","2015-08-31 12:20:00","In Person","General Info",""
"129","2015-08-31 12:26:00","In Person","General Info",""
"130","2015-08-31 12:28:00","In Person","CUD Depts. / Offices","Student looking for Marketing department"
"131","2015-08-31 12:34:00","In Person","General Info","Student wanting to save a file as a PDF"
"132","2015-08-31 12:36:00","In Person","General Info","Student wanting a locker"
"133","2015-08-31 12:37:00","In Person","General Info",""
"134","2015-08-31 12:47:00","In Person","Financial Aid","Student looking for Scholarship office"
"135","2015-08-31 12:59:00","In Person","Financial Aid","Student looking for Scholarship office"
"136","2015-08-31 13:10:00","In Person","CUD Depts. / Offices"," Student looking for ASI (a building)"
"137","2015-08-31 13:18:00","In Person","ID Voucher","Student looking for ID voucher"
"138","2015-08-31 13:21:00","In Person","Computer Lab","Studuent looking for Computer lab"
"139","2015-08-31 13:21:00","In Person","ID Voucher","(I was in TAC)"
"140","2015-08-31 13:25:00","In Person","AB1 Classrooms","Student lookin for 2600"
"141","2015-08-31 13:25:00","In Person","Lynx Center Supplies (Computer Etc.)","STAPLER"
"142","2015-08-31 13:41:00","In Person","Lost and Found",""
"143","2015-08-31 13:43:00","In Person","Lynx Center Supplies (Computer Etc.)","Student looking for SAF"
"144","2015-08-31 13:47:00","In Person","General Info","Student looking for a Microwave"
"145","2015-08-31 13:49:00","In Person","CUD Depts. / Offices",""
"146","2015-08-31 13:53:00","In Person","Financial Aid","Student looking for Financial Aid"
"147","2015-08-31 13:54:00","In Person","CUD Depts. / Offices","Student looking for Deans Office"
"148","2015-08-31 14:01:00","In Person","LRC",""
"149","2015-08-31 14:20:00","In Person","Lynx  Center Staff",""
"150","2015-08-31 14:24:00","In Person","Registrar",""
"151","2015-08-31 14:37:00","Phone","General Info",""
"152","2015-08-31 14:50:00","In Person","Lost and Found","WALLET"
"153","2015-08-31 14:50:00","In Person","Financial AidBursar","(I was in TAC)"
"154","2015-08-31 14:59:00","In Person","General Info","Laptop Rental (Anschutz has it, we don't)"
"155","2015-08-31 15:00:00","In Person","CUD Depts. / Offices",""
"156","2015-08-31 15:00:00","In Person","General Info","Is Lynx Center hiring?"
"157","2015-08-31 15:01:00","In Person","ID Voucher","ID Voucher"
"158","2015-08-31 15:05:00","In Person","General Info","How to reserve a locker in the business school"
"159","2015-08-31 15:10:00","In Person","General Info","How to log into CU Denver wifi"
"160","2015-08-31 15:17:00","In Person","Bursar","Bursar's location"
"161","2015-08-31 15:18:00","In Person","LRC",""
"162","2015-08-31 15:19:00","In Person","Bursar","Where to go to pay the bill?"
"163","2015-08-31 15:20:00","Phone","Lynx Center Supplies (Computer Etc.)",""
"164","2015-08-31 15:21:00","In Person","Auraria Campus","Where is the gym?"
"165","2015-08-31 15:26:00","In Person","CUD Depts. / Offices","DEAN'S OFFICE"
"166","2015-08-31 15:33:00","In Person","General Info","Where to go to get CU Denver shirts"
"167","2015-08-31 15:39:00","In Person","Financial Aid","SAMANTHA"
"168","2015-08-31 15:47:00","In Person","CUD Buildings",""
"169","2015-08-31 16:00:00","In Person","LRC","Where to get tutoring for chemistry"
"170","2015-08-31 16:06:00","In Person","Bursar","Where to pay the bill"
"171","2015-08-31 16:35:00","In Person","Financial Aid","Financial Aid Location"
"172","2015-08-31 16:40:00","In Person","LRC",""
"173","2015-08-31 16:47:00","In Person","Dissability Resources","Disability Resources Location"
"174","2015-08-31 08:10:00","In Person","CUD Buildings","Is this the studeunt commons building?"
"175","2015-09-01 08:34:00","Phone","AB1 Classrooms","SCB 2000"
"176","2015-09-01 09:03:00","Phone","Financial Aid","Financial Aid location"
"177","2015-09-01 09:15:00","Phone","Financial Aid","Tax form - financial aid"
"178","2015-09-01 09:15:00","Phone","Registrar","Location of Registrars"
"179","2015-09-01 09:22:00","In Person","General Info","What time is it?"
"180","2015-09-01 09:25:00","Phone","Lost and Found","Looking for lost wallet"
"181","2015-09-01 09:45:00","Phone","General Info","Metro hospitality "
"182","2015-09-01 09:46:00","Phone","CUD Depts. / Offices","CLAS add form turn in "
"183","2015-09-01 09:49:00","In Person","AB1 Classrooms","Rm 1401 location"
"184","2015-09-01 09:52:00","Phone","Computer Lab","2nd floor computer lab"
"185","2015-09-01 09:58:00","In Person","AB1 Classrooms","Rm 1401 location"
"186","2015-09-01 09:59:00","In Person","LRC","LRC Location"
"187","2015-09-01 10:00:00","In Person","General Info","Questions about posting on monitors"
"188","2015-09-01 10:04:00","In Person","AB1 Classrooms","Rm 1401 location"
"189","2015-09-01 10:05:00","In Person","Lost and Found","Cash, Dispatch Called"
"190","2015-09-01 10:21:00","Phone","General Info","MSU student needed ID voucher"
"191","2015-09-01 10:22:00","Phone","Computer Lab","2nd floor computer lab"
"192","2015-09-01 10:40:00","Phone","Registrar","Registrar location"
"193","2015-09-01 10:42:00","In Person","AB1 Classrooms","ATM Location"
"194","2015-09-01 10:45:00","In Person","Registrar","Registrar's Location"
"195","2015-09-01 10:49:00","Phone","Registrar","Turn in add/drop form"
"196","2015-09-01 10:50:00","Phone","Computer Lab","2nd floor computer lab"
"197","2015-09-01 10:51:00","Phone","General Info","Wanted approval for posting"
"198","2015-09-01 10:52:00","In Person","CUD Depts. / Offices","Looking for history professor's office"
"199","2015-09-01 11:10:00","In Person","AdmissionsRegistrar","Admissions and Records Location"
"200","2015-09-01 11:12:00","In Person","Registrar","Registrar's Location"
"201","2015-09-01 11:18:00","In Person","Financial Aid","Financial Aid Location"
"202","2015-09-01 11:20:00","In Person","Financial Aid","Financial Aid Location"
"203","2015-09-01 11:43:00","In Person","Bursar","Questions about paying for classes"
"204","2015-09-01 11:50:00","In Person","Lost and Found","Looking for lost mac charger"
"205","2015-09-01 11:52:00","In Person","Auraria Campus","Where to go to eat?"
"206","2015-09-01 11:55:00","In Person","CUD Depts. / Offices","MERC Lab Location"
"207","2015-09-01 12:01:00","In Person","","atm location"
"208","2015-09-01 12:15:00","Phone","Bursar","Bursar Location"
"209","2015-09-01 12:20:00","In Person","General Info","lockers in North (referred to student life)"
"210","2015-09-01 12:20:00","In Person","General Info","online drop class guidance"
"211","2015-09-01 12:20:00","In Person","General Info","locker fee questions"
"212","2015-09-01 12:23:00","In Person","Bursar","bursars location"
"213","2015-09-01 12:24:00","In Person","AB1 Classrooms","1500 location"
"214","2015-09-01 12:29:00","In Person","AB1 ClassroomsCUD BuildingsAuraria CampusGeneral Info","where to scan on campus?"
"215","2015-09-01 12:29:00","In Person","","classroom/class confusion"
"216","2015-09-01 12:41:00","In Person","General Info","casting call discussion"
"217","2015-09-01 12:53:00","Phone","Lynx Center Supplies (Computer Etc.)","Needed help with COF"
"218","2015-09-01 12:55:00","In Person","EOP","eop location"
"219","2015-09-01 12:57:00","In Person","General Info","pizza 4a dance move"
"220","2015-09-01 12:57:00","In Person","General Info","pizza 4a dance move"
"221","2015-09-01 13:04:00","In Person","","student id voucher"
"222","2015-09-01 13:07:00","In Person","General Info","pizza 4a dance move"
"223","2015-09-01 13:13:00","In Person","General Info","pizza 4a dance move"
"224","2015-09-01 13:15:00","In Person","Lynx  Center Staff","metting with Cierra"
"225","2015-09-01 13:25:00","In Person","CUD Depts. / Offices","isss location"
"226","2015-09-01 13:44:00","In Person","CUD Depts. / Offices","faculty mentoring/shirt, ect"
"227","2015-09-01 13:48:00","In Person","Admissions","Student looking for Tour"
"228","2015-09-01 13:55:00","In Person","Registrar","Registrars location"
"229","2015-09-01 14:23:00","Phone","Lynx  Center Staff","Kristen for Dean of Students looking for Samantha"
"230","2015-09-01 14:30:00","In Person","Bursar","Student looking for Bursars office to pay tuition"
"231","2015-09-01 14:37:00","In Person","CUD Depts. / Offices","mitch handlesman location"
"232","2015-09-01 14:46:00","In Person","General Info","english immersion location"
"233","2015-09-01 15:08:00","In Person","Lynx  Center Staff","alicia meeting with daralee"
"234","2015-09-01 15:10:00","In Person","CUD Depts. / Offices","Student looking for ISSS"
"235","2015-09-01 15:22:00","In Person","Registrar","Registrars location"
"236","2015-09-01 15:28:00","In Person","Registrar","Student looking for Registrar"
"237","2015-09-01 15:34:00","In Person","POLI SCI","Student looking for Politica Science Dept"
"238","2015-09-01 15:37:00","In Person","Financial Aid","Student looking for Financial Aid"
"239","2015-09-01 15:41:00","In Person","Registrar","Student looking for Registrar"
"240","2015-09-01 16:04:00","In Person","Financial Aid","Student looking for Financial Aid"
"241","2015-09-01 16:09:00","In Person","Registrar","Registrars location"
"242","2015-09-01 16:11:00","In Person","General Info","malware help"
"243","2015-09-01 16:15:00","In Person","Registrar","Student looking for Registrar"
"244","2015-09-01 16:19:00","In Person","","clas advising office location"
"245","2015-09-01 16:20:00","In Person","CUD Depts. / Offices","Student looking for CLAS Advising"
"246","2015-09-01 16:20:00","In Person","Lynx Center Supplies (Computer Etc.)","Student adding a class with SAF"
"247","2015-09-01 16:21:00","In Person","General Info","major change"
"248","2015-09-01 16:21:00","In Person","Registrar","Student looking for Bursars office to pay tuition"
"249","2015-09-01 16:27:00","In Person","","computer lab inquiry"
"250","2015-09-01 16:31:00","In Person","General Info","jobs"
"251","2015-09-01 16:40:00","In Person","Lost and Found","lost phone"
"252","2015-09-01 16:55:00","In Person","CUD Depts. / Offices","inworks building location"
"253","2015-09-01 16:56:00","In Person","",""
"254","2015-09-01 08:39:00","In Person","AB1 Classrooms","Student needed  help finding AB1 2017"
"255","2015-09-02 09:09:00","In Person","Lynx Center Supplies (Computer Etc.)","Needed to use phone--lost phone on bus"
"256","2015-09-02 09:28:00","In Person","Financial Aid","Financial Aid Location"
"257","2015-09-02 09:32:00","In Person","Financial Aid","Financial Aid Location"
"258","2015-09-02 09:53:00","In Person","Registrar","Records Office Location"
"259","2015-09-02 10:05:00","In Person","ID Voucher","student wanted ID Voucher"
"260","2015-09-02 10:10:00","Phone","","Individual wanted to talk to Samantha"
"261","2015-09-02 10:33:00","In Person","MATH","Math Department Location"
"262","2015-09-02 10:40:00","In Person","Financial Aid","student needed the location of Financal Aid office "
"263","2015-09-02 10:41:00","In Person","General Info","Help posting and spreading word about the casting call"
"264","2015-09-02 10:42:00","In Person","General Info","Where to get pins that were distrubuted at convocation"
"265","2015-09-02 10:45:00","In Person","Lynx Center Supplies (Computer Etc.)","Student needed to use a pen "
"266","2015-09-02 10:47:00","In Person","General Info","Student asking about the Gym "
"267","2015-09-02 10:50:00","In Person","Financial Aid","Financial Aid Location"
"268","2015-09-02 10:51:00","In Person","Bursar","When is tuition die"
"269","2015-09-02 10:55:00","In Person","Financial Aid","Financial Aid Location"
"270","2015-09-02 10:58:00","In Person","Health Center","Student asking about making appointment at Health Center"
"271","2015-09-02 11:00:00","In Person","General Info","Do we have any more planners?"
"272","2015-09-02 11:03:00","In Person","General Info","Where can students get the CU Denver t-shirts"
"273","2015-09-02 11:10:00","In Person","General Info","Where to go for intercampus mailing"
"274","2015-09-02 11:12:00","In Person","Computer Lab","Computer Lab Location"
"275","2015-09-02 11:20:00","Phone","","Would it be possible to rent the building? List of rooms and capacities. Gave Kristie's contact info"
"276","2015-09-02 11:25:00","In Person","CUD Depts. / Offices","Where's the Spanish Dept?"
"277","2015-09-02 11:28:00","In Person","Lynx Center Supplies (Computer Etc.)","Needed a tissue"
"278","2015-09-02 11:46:00","In Person","Financial Aid",""
"279","2015-09-02 11:57:00","In Person","Computer Lab","Where can I print stuff?"
"280","2015-09-02 12:06:00","In Person","ID Voucher","SCIENCE"
"281","2015-09-02 12:06:00","In Person","Lynx Center Supplies (Computer Etc.)","Is there a microwave in this bldg?"
"282","2015-09-02 12:14:00","In Person","Financial AidBursar",""
"283","2015-09-02 12:17:00","In Person","BursarRegistrar",""
"284","2015-09-02 12:18:00","In Person","Lynx  Center StaffGeneral Info","DROPPING/TUTORING"
"285","2015-09-02 12:18:00","In Person","General Info","STAPLER"
"286","2015-09-02 12:18:00","In Person","LRC",""
"287","2015-09-02 12:19:00","In Person","Bursar","STUDY ABROAD"
"288","2015-09-02 12:21:00","In Person","Bursar","pay tution place"
"289","2015-09-02 12:26:00","In Person","",""
"290","2015-09-02 12:29:00","In Person","Registrar","location of registars office"
"291","2015-09-02 12:39:00","In Person","",""
"292","2015-09-02 12:49:00","In Person","",""
"293","2015-09-02 13:07:00","In Person","AB1 Classrooms","location of financial aid"
"294","2015-09-02 13:29:00","In Person","General Info","pay tution place"
"295","2015-09-02 13:45:00","In Person","ID Voucher",""
"296","2015-09-02 13:49:00","Phone","","RACHEL FOR SAM"
"297","2015-09-02 14:11:00","In Person","MHMSS","1401 location"
"298","2015-09-02 14:13:00","In Person","Lost and Found","1401 schedule"
"299","2015-09-02 14:14:00","In Person","General Info","media center"
"300","2015-09-02 14:23:00","In Person","General Info","STUDENT LIFE-PLATES"
"301","2015-09-02 14:42:00","Phone","LRC","if anyone turned in a phone"
"302","2015-09-02 14:57:00","In Person","General Info","DOCK"
"303","2015-09-02 14:59:00","In Person","Bursar","work study/ work on campus"
"304","2015-09-02 15:50:00","In Person","","learning center location"
"305","2015-09-02 16:25:00","In Person","Bursar","PAYMENTS"
"306","2015-09-02 08:08:00","In Person","CUD Buildings","location of bursar office"
"307","2015-09-03 08:18:00","In Person","Lost and Found","dfound debit card infront of vending machines"
"308","2015-09-03 08:31:00","In Person","Lost and Found","lost debit card, recoverddebit card"
"309","2015-09-03 08:45:00","Phone","Lost and Found","if anyone found a backpack"
"310","2015-09-03 10:35:00","In Person","Freshman Orientation","NSO Hold for Spring, Explained event on Nov 20th"
"311","2015-09-03 10:38:00","In Person","General Info","Broken Glass in Spear Gallery- Left VM for Facilities"
"312","2015-09-03 10:40:00","In Person","CUD Depts. / Offices","CLAS Advisor Location"
"313","2015-09-03 11:29:00","In Person","Computer Lab","printing lab location"
"314","2015-09-03 11:30:00","In Person","Registrar","Where to get a transcript"
"315","2015-09-03 11:34:00","In Person","General Info","How to hang fliers"
"316","2015-09-03 11:35:00","In Person","AdmissionsFinancial Aid","Admissions & Financial Aid Office locations"
"317","2015-09-03 12:01:00","In Person","AB1 Classrooms","Room 1500 Location"
"318","2015-09-03 12:05:00","In Person","Bursar","Bursar's Office Location"
"319","2015-09-03 12:30:00","In Person","EOP","EOP Office location"
"320","2015-09-03 13:09:00","In Person","Lynx Center Supplies (Computer Etc.)","the use of our phone"
"321","2015-09-03 13:33:00","In Person","Financial Aid","Financial Aid Office Location"
"322","2015-09-03 13:37:00","In Person","Admissions","Campus Tour Location"
"323","2015-09-03 13:37:00","In Person","Admissions","Campus Tour Location"
"324","2015-09-03 13:56:00","In Person","ITS","IT Log in help"
"325","2015-09-03 13:56:00","In Person","ITS","IT Log in help"
"326","2015-09-03 15:25:00","In Person","Bursar","Bursar's Office Location"
"327","2015-09-03 15:43:00","In Person","General Info","How to hang fliers"
"328","2015-09-03 16:47:00","In Person","Financial Aid","Financial Aid Office Location"
"329","2015-09-03 16:47:00","In Person","Lost and Found","Lost and Found"
"330","2015-09-07 08:04:00","Phone","General Info","Person asking about tabling for Fall Fest"
"331","2015-09-07 08:55:00","In Person","Lynx Center Supplies (Computer Etc.)","Student wanting folder"
"332","2015-09-07 09:01:00","Phone","Lynx  Center Staff","Person looking for Ciarra "
"333","2015-09-07 09:26:00","In Person","LRC","Student looking for LRC"
"334","2015-09-07 09:35:00","In Person","Registrar","Student looking for Registrar"
"335","2015-09-07 09:57:00","In Person","General Info","Student asking if this was the Student Commons"
"336","2015-09-07 10:10:00","In Person","CUD Depts. / Offices","Merc Lab"
"337","2015-09-07 10:12:00","In Person","CUD Depts. / Offices","Career Center"
"338","2015-09-07 10:18:00","In Person","General Info","Student wanting to Connect to Wifi"
"339","2015-09-07 10:20:00","In Person","Registrar","Student looking for Registrar"
"340","2015-09-07 10:27:00","In Person","AB1 Classrooms","Student looking for 1401"
"341","2015-09-07 10:34:00","In Person","General Info","Student looking for Work"
"342","2015-09-07 10:36:00","In Person","Financial Aid",""
"343","2015-09-07 10:45:00","In Person","Bursar","Student looking for Bursars"
"344","2015-09-07 10:49:00","Phone","Lynx  Center Staff","Tabling infro Katelyn"
"345","2015-09-07 10:50:00","In Person","Financial Aid","Student looking for Financial Aid"
"346","2015-09-07 10:51:00","In Person","General Info","Student wanting a Locker"
"347","2015-09-07 11:00:00","In Person","Dissability Resources","Student looking for Disabilities"
"348","2015-09-07 11:04:00","In Person","CUD BuildingsCUD Depts. / Offices","Lawence Street Center"
"349","2015-09-07 11:20:00","In Person","Admissions","Student looking for Admissions"
"350","2015-09-07 11:22:00","In Person","Registrar","Student looking for Registrar"
"351","2015-09-07 11:23:00","In Person","AB1 Classrooms","PALS askig what offices are on the 5th floor"
"352","2015-09-07 11:23:00","In Person","General Info","Facilities to fix blinds"
"353","2015-09-07 11:42:00","In Person","Admissions","Student looking for Admissions"
"354","2015-09-07 11:43:00","In Person","Bursar",""
"355","2015-09-07 11:55:00","Phone","Computer Lab","Student looking for Computer Lab"
"356","2015-09-07 12:04:00","In Person","Admissions",""
"357","2015-09-07 12:09:00","In Person","Lost and Found",""
"358","2015-09-07 12:09:00","In Person","General Info","Microwave"
"359","2015-09-07 12:10:00","In Person","Financial Aid","Work study"
"360","2015-09-07 12:12:00","In Person","CUD Depts. / Offices","Pre-collegiate"
"361","2015-09-07 12:14:00","In Person","General Info","School Newspaper"
"362","2015-09-07 12:15:00","In Person","CUD Depts. / Offices","CLAS Advisor"
"363","2015-09-07 12:32:00","Phone","CUD Depts. / Offices","Facilities"
"364","2015-09-07 12:35:00","In Person","General Info","Where to print?"
"365","2015-09-07 12:47:00","In Person","Admissions","Student looking for Admissions"
"366","2015-09-07 12:52:00","In Person","AB1 Classrooms","2018"
"367","2015-09-07 12:55:00","In Person","General Info","Student having issues connecting to Wifi"
